scenario_id,persona_name,background,stated_skills,goal,expert_path,rationale,hours_per_week
SCN-01,"Meera, first-year college student","Meera is eighteen and in the first year of a BA in economics. She has used a computer for coursework and social media but has never written a line of code or opened a database. She heard that data analysis pays well and has three free evenings a week. She is easily discouraged when something does not run, and has already abandoned one YouTube series after a Python installation failed.",,I want to learn data analysis from zero and I don't know where to start.,"RES-035, RES-008, RES-003, RES-020, RES-004, RES-005, RES-009, RES-006, RES-039, RES-048","Colab comes first so no lesson is ever blocked by a broken local install, which is what defeated her last attempt. SQL before Python because SQLBolt gives a visible correct answer in ten minutes and builds confidence, and it has no dependencies on anything else. Pandas must follow Python basics, and cleaning must follow pandas. The open-ended cleaning project is placed last because it removes the guardrails, which only helps once the fundamentals are automatic.",6
SCN-02,"Riya, commerce graduate in an accounts role","Riya has worked for two years in accounts payable at a mid-size firm. She is genuinely strong in Excel, builds pivot tables daily, and understands averages, variance and reconciliation from her job. She has never coded. She wants to move into a data analyst role, ideally internally, and can study around nine hours a week.","excel-analysis:3, descriptive-statistics:2",I want to move from an accounts role into a data analyst job within a year.,"RES-008, RES-009, RES-002, RES-004, RES-005, RES-020, RES-039, RES-037, RES-012","Her Excel and descriptive-statistics grounding means she should not be sent to introductory spreadsheet or averages content, which a naive keyword match on 'analyst' would surface. SQL comes first because it is the actual gate on analyst job descriptions and transfers most directly from the querying instinct she already has. Python follows SQL rather than preceding it, and Power BI is placed only after visualisation principles so she learns chart selection before learning a tool's buttons.",9
SCN-03,"Arjun, backend engineer moving into ML","Arjun has three years of experience writing Python services. He is comfortable with functions, modules and testing, and uses pandas occasionally for one-off scripts. He has never trained a model, and his statistics knowledge stopped at a first-year engineering course he barely remembers. He wants to move to an ML team internally within six months and can commit twelve hours a week.","python-basics:4, python-data-structures:3, python-functions:3, pandas-dataframes:3, numpy-arrays:3",I can already write Python. I want to actually understand and ship machine learning models.,"RES-020, RES-039, RES-018, RES-025, RES-026, RES-005, RES-033, RES-027, RES-034","The entire Python and pandas block is deliberately absent — recommending an introductory Python course to a working backend engineer is the single most common failure of similarity-based recommenders, and this scenario exists to catch it. Statistics comes first because it is his genuine gap and because model evaluation is unintelligible without it. Intro ML precedes intermediate ML, and the two Kaggle projects come after the corresponding technique so he has something to apply.",12
SCN-04,"Sana, retail supervisor with a hard deadline","Sana manages a retail floor team and has been told her role is being restructured within four months. She wants to qualify for an internal reporting position that requires SQL and a BI tool. She has used spreadsheets for rosters and stock but nothing analytical. She can realistically study four hours a week, no more, and needs the shortest credible route rather than the best one.",excel-analysis:2,I have four months and about four hours a week. What is the minimum I need to qualify for a reporting role?,"RES-040, RES-008, RES-009, RES-039, RES-037, RES-011","The binding constraint is roughly sixty-five available hours, so anything not named in the target job description is cut, including all Python and all statistics beyond chart literacy. Excel deepening comes first because it is closest to what she already does and is immediately visible to her manager. Visualisation principles must precede Power BI so the dashboards she builds are defensible. The final SQL problem set is optional overflow if she moves faster than expected.",4
SCN-05,"Kabir, second-year CS student with a vague goal","Kabir is in the second year of a computer science degree. He has passed an introductory programming course in Python and can write loops and conditionals, but has never used a library beyond the standard one. He follows AI news closely and says he wants to 'work with AI', without being able to name a role or a task. He has fifteen hours a week and two years before he needs a job.",python-basics:3,I want to work with AI.,"RES-017, RES-014, RES-004, RES-020, RES-023, RES-025, RES-026, RES-029, RES-047","The stated goal is too vague to act on, so it is interpreted as applied machine learning rather than research, which his timeline and background support. His Python is real but narrow, so the path fills the library and data-structure gap without repeating syntax he already knows. Linear algebra is placed before deep learning rather than at the start, where it would feel unmotivated and cause him to quit. NLP comes last because it depends on both supervised learning and fluent Python.",15
SCN-06,"Farid, operations manager with one specific need","Farid runs logistics for a distribution company and is expert in Excel, including nested lookups and pivot models. His director has asked him to replace a weekly manual report with a live dashboard pulling from the company database. He does not want to become an analyst and has no interest in Python. He has eight hours a week until the dashboard is delivered.",excel-analysis:4,I need to build one live dashboard from our company database. That's all.,"RES-008, RES-009, RES-013, RES-039, RES-037, RES-011","His goal is narrow and terminal, so the path stops at the dashboard and deliberately includes no Python, statistics or machine learning, however strongly a general 'data' query would pull them in. Nothing on Excel is included: he is already at level four and would gain nothing, which is the trap a recommender matching on his stated strength would fall into. SQL is the real gap, and the database course is placed third so he understands the schema his report spans before writing joins against it.",8
SCN-07,"Nikhil, mechanical engineering graduate switching to web",Nikhil graduated in mechanical engineering last year and has not found work in his field. He has used a computer only as an end user and has never opened a terminal. He wants to become a front-end developer and is prepared to study close to full time for six months. He learns best when he can see a visual result quickly.,,I want to become a front-end developer and build things I can actually show people.,"RES-084, RES-063, RES-055, RES-056, RES-059, RES-054, RES-065, RES-085, RES-089","The command line comes first because every later resource silently assumes it, and it is the most common invisible blocker for someone who has never used a terminal. Odin's foundations establish HTML, CSS, JavaScript and Git together. The two layout games follow immediately: they need the box model Odin provides, and placing them before the long CSS certification means he meets flexbox and grid as puzzles rather than as chapters, which suits how he learns. React is deliberately late — it is not a substitute for JavaScript and learning it first is the standard mistake. Deployment is included because an unshipped portfolio does not get interviews.",30
SCN-08,"Tanvi, self-taught developer stuck at intermediate","Tanvi has been building static sites for a year using HTML, CSS and vanilla JavaScript, and has a small freelance client. She can manipulate the DOM but has never used a framework, does not write tests, and describes her JavaScript as 'copied from Stack Overflow until it works'. She wants a salaried front-end job and can study ten hours a week.","html-fundamentals:4, css-fundamentals:4, javascript-basics:3, git-version-control:2",I can build websites but I keep getting rejected for front-end jobs. What am I missing?,"RES-059, RES-065, RES-069, RES-091, RES-092, RES-068, RES-079, RES-085, RES-089","She does not need HTML or CSS instruction and would disengage immediately if given it, which is the failure a difficulty-blind recommender makes here. Deep JavaScript comes before React because her described gap is language fluency, not framework syntax — this ordering is the core judgement in this scenario. Routing and state management follow React rather than accompanying it, since both are answers to problems she has to feel first. Next.js is placed late as an employability item, not a foundation. Testing is included specifically because its absence is a common interview disqualifier at this level.",10
SCN-09,"Rohan, front-end developer moving to full-stack","Rohan has eighteen months in a front-end role writing React with hooks. He consumes APIs daily but has never built one, has never designed a schema, and is unclear on how authentication actually works beyond calling a login endpoint. His team is small and he has been asked to take on backend work. He has ten hours a week.","javascript-basics:4, es6-features:3, react-fundamentals:3, react-hooks:3, html-fundamentals:3, css-fundamentals:3",I write React all day. I need to be able to build the backend too.,"RES-084, RES-061, RES-071, RES-062, RES-072, RES-073, RES-008, RES-074, RES-081, RES-075, RES-089","Asynchronous JavaScript is placed before Node even though he uses async syntax daily, because his stated confusion about how requests actually resolve will surface immediately on the server. Node precedes Express, Express precedes the database layer, and SQL precedes the ORM — an ORM learned without SQL underneath produces developers who cannot debug a slow query. Authentication is placed after a working API exists, since it is meaningless applied to nothing. Git is included despite his experience because he has only ever used it on a single branch.",10
SCN-10,"Priya, marketing associate maintaining the company site","Priya writes copy and updates the company's marketing site through a CMS. She can edit existing HTML blocks and change colours in CSS by trial and error. After an accessibility complaint from a customer, she has been made responsible for fixing the site and improving how it looks. She has no ambition to become a developer and can spend six hours a week.","html-fundamentals:2, css-fundamentals:2",I need to make our site accessible and stop it looking amateur. I'm not trying to become a developer.,"RES-052, RES-053, RES-057, RES-076, RES-086, RES-088","She explicitly does not want a developer path, so JavaScript, frameworks and tooling are all excluded even though a goal mentioning 'website' pulls them strongly. Semantic HTML is placed before the accessibility course rather than after, because accessibility is largely a consequence of correct markup and teaching ARIA to someone using div-only layouts produces worse results. Design comes last: the visual complaint is real but fixing it before the markup is stable means redoing the work.",6
