id,title,url,provider,type,description,difficulty,est_hours,skills_taught,skills_required,quality,notes
RES-001,Python Tutorial (Official Documentation),https://docs.python.org/3/tutorial/,Python Software Foundation,course,"The language's own introduction, walking through syntax, data structures, functions and modules. Dry but authoritative and complete. Best for learners who prefer reading reference material to watching videos.",2,15,"python-basics:3, python-data-structures:3, python-functions:3",,4,"LINK: high confidence, canonical domain."
RES-002,Automate the Boring Stuff with Python,https://automatetheboringstuff.com/,Al Sweigart,course,"A free online book that teaches Python through small practical automation tasks rather than abstract exercises. Covers files, spreadsheets and simple scripting. Strong choice for total beginners who need motivation from visible results.",1,20,"python-basics:3, python-functions:2, python-file-io:3",,5,LINK: high confidence.
RES-003,Kaggle Learn: Python,https://www.kaggle.com/learn/python,Kaggle,course,"A short hands-on course covering the Python needed for data work specifically, skipping general-purpose topics. Runs entirely in the browser with exercises checked automatically.",1,5,"python-basics:3, python-data-structures:2, python-functions:2",,4,LINK: high confidence. Requires free Kaggle account.
RES-004,Kaggle Learn: Pandas,https://www.kaggle.com/learn/pandas,Kaggle,course,"Covers indexing, selecting, grouping and combining DataFrames with immediate exercises on real datasets. Assumes basic Python already.",2,4,"pandas-dataframes:3, pandas-groupby:2",python-basics:2,5,LINK: high confidence.
RES-005,Kaggle Learn: Data Cleaning,https://www.kaggle.com/learn/data-cleaning,Kaggle,course,"Focused module on missing values, scaling, inconsistent text entry and character encoding problems. Short and practical.",2,4,pandas-cleaning:3,pandas-dataframes:2,4,LINK: high confidence.
RES-006,Kaggle Learn: Data Visualization,https://www.kaggle.com/learn/data-visualization,Kaggle,course,"Teaches chart selection and plotting with Seaborn, emphasising which chart answers which question. Light on theory, heavy on doing.",2,4,"seaborn:3, data-visualization-principles:2",pandas-dataframes:2,4,LINK: high confidence.
RES-007,Kaggle Learn: Intro to SQL,https://www.kaggle.com/learn/intro-to-sql,Kaggle,course,"Introduces SELECT, WHERE, GROUP BY and simple aggregation against real query engines. Good first exposure for someone who has never queried a database.",1,3,"sql-basics:3, sql-aggregation:2",,4,LINK: high confidence.
RES-008,SQLBolt: Learn SQL with Interactive Exercises,https://sqlbolt.com/,SQLBolt,course,"Browser-based lessons that build from single-table selects up to joins, each with an exercise you must pass before continuing. No signup and no setup at all.",1,5,"sql-basics:3, sql-joins:2",,5,LINK: high confidence. Best zero-friction SQL starting point.
RES-009,Mode SQL Tutorial,https://mode.com/sql-tutorial/,Mode Analytics,course,"A three-part tutorial moving from basic to intermediate to advanced SQL, framed around analyst work rather than database administration. Includes a live editor against real datasets.",2,12,"sql-basics:4, sql-joins:3, sql-aggregation:3, sql-subqueries:3",,5,LINK: high confidence.
RES-010,Kaggle Learn: Advanced SQL,https://www.kaggle.com/learn/advanced-sql,Kaggle,course,"Covers joins, unions, analytic window functions and nested data. The natural follow-on once basic querying is comfortable.",3,4,"sql-joins:4, sql-window-functions:3, sql-subqueries:3","sql-basics:3, sql-aggregation:2",4,LINK: high confidence.
RES-011,HackerRank SQL Practice,https://www.hackerrank.com/domains/sql,HackerRank,assessment,A graded problem set spanning basic selects through advanced joins and aggregation. Useful for testing whether SQL knowledge actually holds up under a timed question.,3,10,"sql-joins:4, sql-aggregation:4, sql-subqueries:3","sql-joins:2, sql-aggregation:2",4,LINK: high confidence.
RES-012,DataLemur SQL Interview Questions,https://datalemur.com/questions,DataLemur,assessment,"Real SQL interview questions from data companies, with difficulty labels and solutions. Aimed squarely at people preparing for analyst interviews.",3,12,"sql-window-functions:4, sql-subqueries:4","sql-joins:3, sql-aggregation:3",4,LINK: verify — free tier scope may have changed.
RES-013,PostgreSQL Tutorial,https://www.postgresqltutorial.com/,PostgreSQLTutorial.com,course,"A structured reference covering PostgreSQL from querying through schema design, indexes and constraints. Includes a sample database to practise against.",3,15,"sql-basics:4, database-design:3, sql-joins:3",,4,LINK: verify.
RES-014,NumPy: The Absolute Basics for Beginners,https://numpy.org/doc/stable/user/absolute_beginners.html,NumPy,article,"The official onboarding guide to arrays, shapes, indexing and broadcasting. Concise and correct; read it once before touching pandas seriously.",2,4,numpy-arrays:3,python-data-structures:2,4,LINK: high confidence.
RES-015,Pandas Getting Started Tutorials,https://pandas.pydata.org/docs/getting_started/intro_tutorials/index.html,pandas,course,"Ten short official tutorials each answering one practical question about loading, selecting, plotting and reshaping data. Good for filling specific gaps rather than reading end to end.",2,6,"pandas-dataframes:3, pandas-groupby:3",python-data-structures:2,4,LINK: high confidence.
RES-016,freeCodeCamp: Data Analysis with Python,https://www.freecodecamp.org/learn/data-analysis-with-python/,freeCodeCamp,course,"A full certification covering NumPy, pandas and data cleaning, ending in five required projects. The projects are the value here; the video lectures are optional.",2,30,"pandas-dataframes:4, pandas-cleaning:3, numpy-arrays:3, pandas-groupby:3",python-basics:2,4,LINK: high confidence.
RES-017,freeCodeCamp: Scientific Computing with Python,https://www.freecodecamp.org/learn/scientific-computing-with-python/,freeCodeCamp,course,"Python fundamentals taught through computation-oriented problems, finishing with five build-it-yourself projects. Slower than Kaggle Learn but far more practice per concept.",2,25,"python-basics:4, python-functions:3, python-file-io:3, python-data-structures:3",,4,LINK: high confidence.
RES-018,Matplotlib Tutorials,https://matplotlib.org/stable/tutorials/index.html,Matplotlib,course,Official tutorials from basic plotting through the object-oriented interface and styling. Necessary once default charts stop being enough.,3,6,matplotlib:3,"python-data-structures:2, data-visualization-principles:2",3,LINK: high confidence.
RES-019,Seaborn Official Tutorial,https://seaborn.pydata.org/tutorial.html,Seaborn,course,Walks through the library's plot families and the grammar behind them. Assumes pandas familiarity and some Matplotlib exposure.,3,5,seaborn:4,"matplotlib:2, pandas-dataframes:3",4,LINK: high confidence.
RES-020,Khan Academy: Statistics and Probability,https://www.khanacademy.org/math/statistics-probability,Khan Academy,course,"A complete free statistics curriculum from summary measures through probability, inference and significance testing, with practice exercises throughout. The most reliable no-cost path for someone with no statistics background.",2,40,"descriptive-statistics:4, probability-basics:3, inferential-statistics:3, hypothesis-testing:3",,5,LINK: high confidence. Long — usually assigned in parts.
RES-021,Seeing Theory,https://seeing-theory.brown.edu/,Brown University,article,"Interactive visual explanations of probability and inference concepts. Excellent as a companion when a formula-first treatment isn't landing, weak as a sole source.",2,4,probability-basics:3,descriptive-statistics:2,4,LINK: high confidence.
RES-022,StatQuest with Josh Starmer,https://www.youtube.com/c/joshstarmer,StatQuest,video,A large catalogue of short videos explaining statistical and machine learning concepts from first principles. Best used to unblock one specific concept rather than watched in sequence.,2,15,"descriptive-statistics:3, inferential-statistics:3, supervised-learning:2, model-evaluation:2",,5,"LINK: high confidence. Channel, not a structured course."
RES-023,3Blue1Brown: Essence of Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,3Blue1Brown,video,"A visual series building geometric intuition for vectors, matrices, determinants and eigenvectors. Builds understanding rather than computational fluency, so pair it with exercises.",2,5,linear-algebra-basics:3,,5,LINK: high confidence.
RES-024,Khan Academy: Linear Algebra,https://www.khanacademy.org/math/linear-algebra,Khan Academy,course,"Systematic coverage of vectors, matrix operations, transformations and eigenvalues with practice problems. The computational counterpart to a visual series.",3,25,linear-algebra-basics:4,,4,LINK: high confidence.
RES-025,Kaggle Learn: Intro to Machine Learning,https://www.kaggle.com/learn/intro-to-machine-learning,Kaggle,course,"Builds a first decision tree and random forest model end to end, introducing train/test splits and validation error. Deliberately shallow on theory.",2,4,"scikit-learn-basics:3, supervised-learning:2, model-evaluation:2",pandas-dataframes:2,4,LINK: high confidence.
RES-026,Kaggle Learn: Intermediate Machine Learning,https://www.kaggle.com/learn/intermediate-machine-learning,Kaggle,course,"Handles missing values, categorical variables, pipelines, cross-validation and gradient boosting. The step that turns a toy model into a defensible one.",3,5,"scikit-learn-basics:4, model-evaluation:3, supervised-learning:3","scikit-learn-basics:2, supervised-learning:2",5,LINK: high confidence.
RES-027,Kaggle Learn: Feature Engineering,https://www.kaggle.com/learn/feature-engineering,Kaggle,course,"Covers mutual information, feature creation, clustering and target encoding as inputs to a model. Practical and short.",3,5,feature-engineering:3,"exploratory-data-analysis:2, scikit-learn-basics:2",4,LINK: high confidence.
RES-028,Kaggle Learn: Time Series,https://www.kaggle.com/learn/time-series,Kaggle,course,"Covers trend, seasonality and serial dependence, then builds forecasting models that combine them. Works on real time-indexed datasets rather than synthetic series. Applied throughout, with almost no theoretical derivation, so pair it with a statistics source if forecasting becomes a main focus.",3,5,time-series-analysis:3,"pandas-dataframes:3, inferential-statistics:2",4,LINK: high confidence.
RES-029,Kaggle Learn: Intro to Deep Learning,https://www.kaggle.com/learn/intro-to-deep-learning,Kaggle,course,"Builds neural networks with Keras, covering layers, activations, overfitting and training curves. A gentle entry point that skips most of the mathematics.",3,5,deep-learning-basics:3,"model-evaluation:2, linear-algebra-basics:2",4,LINK: high confidence.
RES-030,scikit-learn: Getting Started,https://scikit-learn.org/stable/getting_started.html,scikit-learn,article,"A compressed tour of estimators, transformers, pipelines and model selection. Short enough to read in one sitting and orients you in the library's design.",2,2,scikit-learn-basics:2,"python-functions:2, pandas-dataframes:2",4,LINK: high confidence.
RES-031,scikit-learn User Guide,https://scikit-learn.org/stable/user_guide.html,scikit-learn,course,"The full reference covering supervised and unsupervised methods, preprocessing and evaluation with the theory behind each. A reference to consult, not a course to complete.",4,30,"supervised-learning:4, unsupervised-learning:4, model-evaluation:4",scikit-learn-basics:3,4,LINK: high confidence.
RES-032,freeCodeCamp: Machine Learning with Python,https://www.freecodecamp.org/learn/machine-learning-with-python/,freeCodeCamp,course,"TensorFlow-centred introduction to core ML and neural networks, with five certification projects. Project-heavy, which is what makes it worth the time.",3,30,"supervised-learning:3, deep-learning-basics:3, nlp-basics:2","python-functions:3, pandas-dataframes:2",4,LINK: high confidence.
RES-033,Kaggle: Titanic — Machine Learning from Disaster,https://www.kaggle.com/competitions/titanic,Kaggle,project,"The standard first end-to-end modelling exercise: clean a small messy dataset, engineer features and submit predictions. Its value is the full loop, not the problem itself.",2,8,"exploratory-data-analysis:2, feature-engineering:2, supervised-learning:2","pandas-dataframes:2, scikit-learn-basics:2",4,LINK: high confidence.
