id,title,url,provider,type,description,difficulty,est_hours,skills_taught,skills_required,quality,notes
RES-001,Python for Everybody,https://www.py4e.com/,University of Michigan / Coursera,course,"A gentle introduction to programming with Python for complete beginners. Covers syntax, control flow, functions and basic data structures with small practical exercises.",1,20,"python-basics:4,python-data-structures:3",,5,bootstrap
RES-002,Automate the Boring Stuff with Python,https://automatetheboringstuff.com/,Al Sweigart,course,"Practical Python taught through small automation projects: files, spreadsheets, web scraping. Reinforces core syntax by building things rather than drilling theory.",1,15,"python-basics:3,python-data-structures:3",,4,bootstrap
RES-003,NumPy Fundamentals,https://numpy.org/doc/stable/user/absolute_beginners.html,NumPy,article,"Official beginner guide to ndarrays, vectorised operations, indexing and broadcasting. Short and reference-grade rather than narrative.",2,4,numpy-arrays:3,python-data-structures:2,4,bootstrap
RES-004,Pandas in 10 Minutes and Beyond,https://pandas.pydata.org/docs/user_guide/10min.html,pandas,article,"Whirlwind tour of DataFrame creation, selection, grouping and merging. Best used as a first orientation before deeper practice.",2,3,pandas-dataframes:2,"python-data-structures:2,numpy-arrays:2",3,bootstrap
RES-005,Data Analysis with Python,https://www.freecodecamp.org/learn/data-analysis-with-python/,freeCodeCamp,course,"Full course on analysing real datasets with pandas and NumPy, including cleaning and summarising data. Ends with graded projects on actual data.",2,25,"pandas-dataframes:4,data-cleaning:3,numpy-arrays:3",python-data-structures:3,5,bootstrap
RES-006,Cleaning Messy Data in Pandas,https://realpython.com/python-data-cleaning-numpy-pandas/,Real Python,article,"Walks through missing values, type coercion, duplicates and outliers on a messy real dataset. Practical patterns rather than API listings.",2,4,data-cleaning:4,pandas-dataframes:3,4,bootstrap
RES-007,SQL for Data Analysis,https://mode.com/sql-tutorial/,Mode Analytics,course,"Interactive SQL tutorial aimed squarely at analysts, from SELECT through joins and aggregation, run against real datasets in the browser.",1,12,"sql-basics:4,sql-joins:3",,5,bootstrap
RES-008,SQLBolt Interactive Lessons,https://sqlbolt.com/,SQLBolt,course,"Short interactive SQL lessons with immediate feedback. Ideal first contact with querying for someone who has never written SQL.",1,6,sql-basics:3,,4,bootstrap
RES-009,Advanced SQL: Window Functions,https://mode.com/sql-tutorial/sql-window-functions/,Mode Analytics,article,"Focused treatment of window functions: partitions, ranking and running aggregates, with analyst-oriented examples.",3,4,sql-window-functions:4,sql-joins:3,4,bootstrap
RES-010,Database Design Fundamentals,https://www.postgresql.org/docs/current/tutorial.html,PostgreSQL,article,"Official tutorial covering tables, keys, relationships and basic schema design in a real relational database.",2,6,"relational-modeling:3,database-fundamentals:3",sql-basics:2,3,bootstrap
RES-011,Statistics Fundamentals,https://www.khanacademy.org/math/statistics-probability,Khan Academy,course,"Structured coverage of descriptive statistics, distributions and probability with lots of worked practice problems.",1,20,"descriptive-statistics:4,probability-basics:3",,4,bootstrap
RES-012,Intro to Inferential Statistics,https://seeing-theory.brown.edu/,Brown University,course,"Visual, interactive introduction to sampling, estimation and hypothesis testing. Strong for building intuition before formal study.",2,8,"inferential-statistics:3,probability-basics:3",descriptive-statistics:3,4,bootstrap
RES-013,Data Visualization with Python,https://www.freecodecamp.org/learn/data-visualization/,freeCodeCamp,course,"Building charts that answer questions, covering distributions, comparisons and relationships, plus common misleading-chart pitfalls.",2,15,data-visualization:4,pandas-dataframes:3,4,bootstrap
RES-014,Exploratory Data Analysis Project,https://www.kaggle.com/learn/data-cleaning,Kaggle Learn,project,"Hands-on notebooks where you clean and explore a real dataset end to end and publish your findings.",2,8,"exploratory-data-analysis:4,data-cleaning:3","pandas-dataframes:3,data-visualization:2",4,bootstrap
RES-015,Feature Engineering for Machine Learning,https://www.kaggle.com/learn/feature-engineering,Kaggle Learn,course,"Encoding categoricals, scaling, interaction terms and target encoding, evaluated against a real predictive task.",3,7,feature-engineering:4,"exploratory-data-analysis:3,pandas-dataframes:3",4,bootstrap
RES-016,Intro to Machine Learning,https://www.kaggle.com/learn/intro-to-machine-learning,Kaggle Learn,course,"First supervised models with scikit-learn: decision trees and random forests, with train/validation discipline introduced early.",2,6,"supervised-learning:3,scikit-learn:3,model-evaluation:2","feature-engineering:2,numpy-arrays:2",4,bootstrap
RES-017,Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course,Google,course,"Google's structured ML introduction: loss, gradient descent, generalisation, regularisation and evaluation, with interactive exercises.",3,20,"supervised-learning:4,model-evaluation:4","inferential-statistics:2,feature-engineering:2",5,bootstrap
RES-018,scikit-learn User Guide: Model Selection,https://scikit-learn.org/stable/model_selection.html,scikit-learn,article,"Reference-grade coverage of cross-validation, hyperparameter search and scoring metrics with runnable examples.",3,6,"model-evaluation:4,scikit-learn:4",supervised-learning:3,4,bootstrap
RES-019,Clustering and Dimensionality Reduction,https://scikit-learn.org/stable/unsupervised_learning.html,scikit-learn,article,"Unsupervised methods including k-means, hierarchical clustering and PCA, with guidance on when each applies.",3,6,unsupervised-learning:3,"feature-engineering:3,numpy-arrays:3",3,bootstrap
RES-020,Build an Analyst Portfolio Dashboard,https://www.datacamp.com/tutorial/beginners-guide-to-building-dashboards,DataCamp,project,"End-to-end project: query a dataset, design the charts, assemble a dashboard, and write the narrative a stakeholder would read.",3,12,"dashboarding:4,business-communication:3,data-visualization:4","sql-joins:3,data-visualization:3",4,bootstrap
RES-021,Storytelling with Data,https://www.storytellingwithdata.com/blog,Cole Nussbaumer Knaflic,article,"Essays on framing analysis for decision-makers: choosing the message, removing clutter and structuring the narrative.",2,5,business-communication:4,data-visualization:2,4,bootstrap
RES-022,Analyst Capstone: End-to-End Case Study,https://www.kaggle.com/competitions,Kaggle,project,"Take a real dataset from raw files to a documented, evaluated model with a written conclusion. Consolidates the whole analyst workflow.",4,20,"exploratory-data-analysis:5,model-evaluation:4,business-communication:3","model-evaluation:3,exploratory-data-analysis:3",4,bootstrap
RES-023,Learn HTML,https://web.dev/learn/html,web.dev,course,"Modern HTML from the ground up: document structure, semantics, forms and metadata, written by browser engineers.",1,8,html-basics:4,,5,bootstrap
RES-024,Learn CSS,https://web.dev/learn/css,web.dev,course,"Comprehensive modern CSS: the box model, selectors, colour, typography and the cascade, with interactive demos.",2,15,"css-basics:4,css-layout:3",html-basics:2,5,bootstrap
RES-025,CSS Grid and Flexbox Guides,https://css-tricks.com/snippets/css/complete-guide-grid/,CSS-Tricks,article,"The reference guides for grid and flexbox, with visual diagrams for every property. Best kept open while building layouts.",2,4,css-layout:4,css-basics:3,5,bootstrap
RES-026,JavaScript Basics,https://javascript.info/first-steps,javascript.info,course,"Careful, example-led introduction to JavaScript syntax, types, functions and objects. Deeper than most beginner material.",1,20,javascript-basics:4,,5,bootstrap
RES-027,Modern JavaScript: Modules and ES6+,https://javascript.info/modules,javascript.info,article,"Modules, destructuring, spread, classes and the tooling that assumes them. Bridges beginner JS to framework-ready JS.",2,6,es6-modules:4,javascript-basics:3,4,bootstrap
RES-028,Asynchronous JavaScript Deep Dive,https://javascript.info/async,javascript.info,course,"Callbacks, promises, async/await, error handling and the event loop, with the failure modes made explicit.",2,8,javascript-async:4,javascript-basics:3,5,bootstrap
RES-029,TypeScript Handbook,https://www.typescriptlang.org/docs/handbook/intro.html,Microsoft,article,"Official handbook: types, interfaces, generics, narrowing and configuration. Reference-shaped, best consumed in sections.",3,10,typescript-basics:4,"javascript-basics:3,es6-modules:2",4,bootstrap
RES-030,React Foundations,https://react.dev/learn,React,course,"Official tutorial: components, props, state, lists and events, with the mental model of rendering explained properly.",2,15,"react-fundamentals:4,react-hooks:2","javascript-basics:3,es6-modules:2",5,bootstrap
RES-031,Thinking in React Hooks,https://react.dev/reference/react/hooks,React,article,"Reference and guidance for useState, useEffect, useMemo and custom hooks, including when effects are the wrong tool.",3,8,react-hooks:4,react-fundamentals:3,4,bootstrap
RES-032,Managing State in React,https://react.dev/learn/managing-state,React,article,"Structuring state, lifting it up, context, and reducers, with worked refactors of realistic components.",3,6,react-state-management:4,react-hooks:3,4,bootstrap
RES-033,Next.js App Router Course,https://nextjs.org/learn,Vercel,course,"Build and deploy a full Next.js application: routing, layouts, data fetching, server components and deployment.",3,14,"nextjs-routing:4,deployment-basics:2",react-hooks:3,5,bootstrap
RES-034,Node.js and Express Fundamentals,https://www.theodinproject.com/paths/full-stack-javascript/courses/nodejs,The Odin Project,course,"Server-side JavaScript: the runtime, npm, Express routing, middleware and connecting to a database.",3,25,"nodejs-basics:4,rest-apis:3",javascript-async:3,4,bootstrap
RES-035,Designing REST APIs,https://developer.mozilla.org/en-US/docs/Web/HTTP,MDN,article,"HTTP methods, status codes, headers and caching, which is the substrate every REST design decision sits on.",2,6,rest-apis:3,javascript-async:2,4,bootstrap
RES-036,Web Authentication and Sessions,https://developer.mozilla.org/en-US/docs/Web/Security,MDN,article,"Sessions, cookies, tokens, password hashing and the common attacks each mechanism is defending against.",3,8,auth-sessions:4,"rest-apis:3,database-fundamentals:2",4,bootstrap
RES-037,Accessibility Fundamentals,https://web.dev/learn/accessibility,web.dev,course,"Semantics, focus management, contrast, ARIA and testing with a screen reader. Practical and standards-grounded.",2,10,web-accessibility:4,"html-basics:3,css-basics:2",5,bootstrap
RES-038,Learn Git Branching,https://learngitbranching.js.org/,Peter Cottle,course,"Visual, interactive Git: commits, branching, merging and rebasing, with the graph drawn as you type commands.",2,6,git-version-control:4,,5,bootstrap
RES-039,Testing JavaScript Applications,https://testingjavascript.com/,Kent C. Dodds,course,"Unit, integration and end-to-end testing strategy, including what to test and what not to bother testing.",3,12,testing-fundamentals:4,javascript-basics:3,4,bootstrap
RES-040,Deploy a Full-Stack App,https://vercel.com/docs/deployments/overview,Vercel,project,"Take an application from local development to a live URL: builds, environment variables, previews and rollbacks.",2,5,deployment-basics:4,"nodejs-basics:2,git-version-control:2",4,bootstrap
RES-041,Build a Portfolio Web App,https://www.theodinproject.com/paths/full-stack-javascript,The Odin Project,project,"Capstone project building and deploying a full-stack application, integrating front end, API, database and auth.",4,30,"react-state-management:3,rest-apis:4,auth-sessions:3,deployment-basics:3","react-hooks:3,nodejs-basics:3",5,bootstrap
